# Playas rev. 1.5 (2024-03-124)
,Identificador,Tramo,Nombre,Longitud,Anchura,Direccion,ID_Municipio,Municipio,geometry
1,A01-001_01,A01-001,"01.Robaiza",1421.531342,20,S,04003,Adra,"LINESTRING (488747.6352370819 4067252.5774821504, 488856.43648701493 4067251.5700631696, 488942.0671003881 4067233.436521514, 489037.77190357 4067216.3103988394, 489155.63992433075 4067228.3994266097, 489281.56729693845 4067224.3697506865, 489378.27951910114 4067209.258465973, 489501.18463476625 4067157.8800979494, 489551.55558380927 4067162.917192854, 489624.0897504313 4067178.028477567, 489706.69810686196 4067204.221371069, 489773.1877595988 4067242.503292342, 489838.66999335476 4067256.607158074, 489925.3080257089 4067256.607158074, 489984.7457455797 4067237.4661974376, 490106.6434422638 4067212.280722916, 490129.81407882366 4067213.288141897)"
2,A01-001_02,A01-001,"02.Cabite",926.922483,20,S,04003,Adra,"LINESTRING (490185.22212277126 4067211.777013426, 490258.7637083742 4067205.2287900504, 490346.4091597091 4067175.509930115, 490399.8023656948 4067151.3318745745, 490445.639929324 4067158.8875169307, 490508.6036156278 4067157.3763884595, 490553.93746976653 4067145.287360689, 490577.10810632637 4067142.768813237, 490613.3751896373 4067149.8207461033, 490664.75355766126 4067137.731718333, 490718.6504731373 4067135.213170881, 490768.0140031995 4067132.1909139385, 490843.57042676414 4067097.938668589, 490888.9042809029 4067073.7606130484, 490919.6305598193 4067061.1678757877, 490974.53489427624 4067049.0788480174, 491019.86874841497 4067049.582557508, 491061.6766361207 4067049.582557508, 491078.8027587954 4067044.5454626037)"
3,A01-001_03,A01-001,"03.La Alcazaba",805.585596,15,S,04003,Adra,"LINESTRING (491287.84219732427 4067027.923049414, 491344.2576602525 4067004.248703364, 491396.1397377668 4066996.1893515172, 491453.05891018553 4066964.45565362, 491497.88905483385 4066943.2998550218, 491557.3267747047 4066919.6255089715, 491601.65320986253 4066903.0030957875, 491629.35723183624 4066890.4103585267, 491669.1502815803 4066887.891811074, 491700.8839794774 4066889.9066490363, 491735.1362248267 4066884.3658446413, 491782.9886264176 4066912.0698666153, 491822.27796667116 4066932.2182462323, 491874.66375367594 4066923.655184895, 491951.22759622143 4066901.4919673163, 492021.2432153913 4066874.2916548327, 492042.3990139894 4066871.26939789)"
4,A01-001_04,A01-001,"04.De Las Conchas",1228.98578,15,S,04003,Adra,"LINESTRING (492159.7633252598 4066889.9066490373, 492249.92732404685 4066881.84729719, 492342.60987028613 4066863.713755535, 492403.0550091378 4066845.076504389, 492440.8332209201 4066836.5134430514, 492509.3377116187 4066831.4763481473, 492553.16043728613 4066836.009733561, 492596.47945346317 4066839.535699994, 492624.18347543693 4066846.0839233696, 492674.55442447995 4066848.0987613313, 492720.8956975996 4066851.1210182738, 492770.76293715223 4066845.5802138792, 492794.4372832025 4066832.9874766185, 492846.0675059716 4066824.9281247733, 492916.58683463186 4066817.876191907, 492983.07648736873 4066787.6536224815, 493031.43259845005 4066787.6536224815, 493117.0632118233 4066784.631365539, 493226.87188073725 4066780.0979801244, 493280.7687962133 4066770.5274998066, 493329.6286167851 4066767.5052428637, 493350.2807058928 4066767.5052428637, 493368.41424754827 4066763.4755669404)"
5,A01-001_05,A01-001,"05.Guainos",728.949698,20,S,04003,Adra,"LINESTRING (493451.52631346945 4066748.364282228, 493526.5790275436 4066702.5267185993, 493600.6243226369 4066663.7410878357, 493629.83947308187 4066653.1631885367, 493668.1213943546 4066655.681735989, 493728.0628237159 4066683.889467453, 493792.537638491 4066704.0378470705, 493856.5087437757 4066719.6528412737, 493920.9835585508 4066737.7863829294, 494037.8441603307 4066758.4384720367, 494095.77075173025 4066754.912505604, 494139.0897679073 4066764.482985922)"
6,A01-001_06,A01-001,"06.Cala Junco",529.56798,10,S,04003,Adra,"LINESTRING (494524.9312375771 4066826.1873984993, 494549.36114786303 4066839.5356999957, 494590.91718082357 4066851.624727767, 494648.8437722231 4066846.8394876076, 494725.40761476854 4066832.2319123847, 494762.6821170604 4066819.387320379, 494780.0600944803 4066814.098370729)"
7,A01-001_07,A01-001,"07.Lance de La Virgen",736.383143,25,S,04003,Adra,"LINESTRING (495033.67782291217 4066789.4166057, 495087.57473838824 4066785.890639267, 495156.5829385773 4066793.446281623, 495204.9390496586 4066806.5427283747, 495239.69500449835 4066820.6465941067, 495279.4880542424 4066834.7504598387, 495330.3627127759 4066847.3431970994, 495394.3338180606 4066850.8691635323, 495469.8902416252 4066845.832068628, 495531.3427994577 4066830.720783915, 495597.3287427042 4066806.039018884, 495649.21082021855 4066791.9351531514, 495708.1448305989 4066773.801611496, 495735.8488525726 4066770.7793545537, 495749.44900881423 4066770.7793545537)"
8,A01-001_08,A01-001,"08.Gaviota",580.406846,10,S,04003,Adra,"LINESTRING (495859.25767772814 4066813.594661242, 495926.7547494458 4066829.7133649355, 496009.3631058765 4066822.6614320697, 496070.815663709 4066816.6169181843, 496129.24596459896 4066816.6169181843, 496169.5427238334 4066829.7133649355, 496208.83206408704 4066840.794973725, 496272.29945988127 4066844.8246496483, 496325.6926658669 4066848.854325572, 496370.01910102484 4066854.898839457, 496420.3900500679 4066858.9285153807, 496426.4345639531 4066858.9285153807, 496432.47907783824 4066858.9285153807)"
9,A01-001_09,A01-001,"09.Caracola",649.072571,10,S,04003,Adra,"LINESTRING (496449.1014910225 4066861.950772322, 496500.9835685369 4066860.4396438506, 496539.76919930003 4066859.93593436, 496591.6512768144 4066869.5064146784, 496634.97029299143 4066876.054638054, 496668.2151193599 4066880.0843139775, 496717.5786494221 4066881.5954424487, 496742.2604144532 4066877.5657665255, 496777.52007878333 4066868.4989956976, 496818.82425699866 4066881.5954424487, 496847.5356979532 4066883.6102804104, 496921.58099304646 4066864.9730292647, 496962.8851712618 4066858.424805889, 497008.2190254006 4066858.424805889, 497054.5602985202 4066859.9359343606, 497089.8199628503 4066858.92851538)"
0,A01-002_10,A01-002,"10.De Poniente (o Sirena Loca)",1358.650939,45,S,04003,Adra,"LINESTRING (497105.0571749365 4066858.8025880153, 497198.6212127833 4066845.328359138, 497319.5114904867 4066813.0909517505, 497392.0456571087 4066780.8535443633, 497502.8617450035 4066718.3935675495, 497639.87072640064 4066621.681345387, 497764.79068002745 4066531.0136371097, 497897.76998550113 4066418.182711253, 498024.7047770897 4066321.4704890903, 498145.59505479306 4066214.684077119, 498234.2479251089 4066142.149910497)"
11,A01-004_11,A01-004,"11.San Nicolás",487.97136,40,S,04003,Adra,"LINESTRING (498484.08783236245 4066607.0737701636, 498557.62941796536 4066601.029256278, 498619.58568528836 4066585.414262075, 498674.9937292357 4066564.258463477, 498723.8535498075 4066541.5915364074, 498770.69853241753 4066516.406061886, 498817.5435150276 4066487.6946209315, 498860.35882171424 4066452.4349566014, 498888.5665531783 4066425.234644118, 498901.1592904391 4066393.500946221)"
12,A01-004_12,A01-004,"12.Del Censo",488.457266,35,S,04003,Adra,"LINESTRING (498915.51501091634 4066354.715315458, 498967.9007979211 4066394.004655712, 499017.2643279833 4066392.997236731, 499085.76881868194 4066363.7820862858, 499156.2881473422 4066313.411137243, 499204.6442584236 4066276.136634951, 499250.9855315432 4066238.862132659, 499281.20810096903 4066212.669239157, 499291.28229077766 4066190.506021578, 499283.22293893073 4066164.313128075)"
