year,width
2023,45.0
2024,44.2
2025,43.4
2026,42.6
2027,41.8
2028,41.0
2029,40.2
2030,39.4
2031,38.6
2032,37.8
2033,37.0
2034,36.2
2035,35.4
2036,34.6
2037,33.8
2038,33.0
2039,32.2
2040,31.4
2041,30.6
2042,29.799999999999997
2043,29.0
2044,28.2
2045,27.4
2046,26.599999999999998
2047,25.799999999999997
2048,25.0
2049,24.2
2050,23.4
2051,22.599999999999998
2052,21.799999999999997
2053,21.0
2054,20.2
2055,19.4
2056,18.599999999999998
2057,17.799999999999997
2058,17.0
2059,16.2
2060,15.399999999999999
2061,14.599999999999998
2062,13.799999999999997
2063,13.0
2064,12.199999999999996
2065,11.399999999999999
2066,10.600000000000001
2067,9.799999999999997
2068,9.0
2069,8.199999999999996
2070,7.399999999999999
2071,6.599999999999994
2072,5.799999999999997
2073,5.0
2074,4.199999999999996
2075,3.3999999999999986
2076,2.5999999999999943
2077,1.7999999999999972
2078,1.0
2079,0.19999999999999574
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
