calado,porcentaje,dano
0.00,0,0.00
0.04,3.71686520083852,2056.24
0.09,8.494738600839192,4699.46
0.14,11.671090190783838,6456.68
0.21,14.304703833987155,7913.65
0.28,17.472158080542545,9665.95
0.36,20.630714983708742,11413.32
0.45,23.784823215180346,13158.24
0.56,27.463874706614764,15193.56
0.66,31.68121547309584,17526.68
0.74,34.31038044460463,18981.19
0.80,36.410153484455876,20142.83
0.87,40.645288937715414,22485.79
0.96,45.93920825428968,25414.49
1.03,50.169895035854545,27754.99
1.12,54.39168447403023,30090.57
1.22,58.07963330885382,32130.81
1.30,62.30587141872411,34468.85
1.39,65.4599796501957,36213.77
1.48,68.6140878816673,37958.69
1.56,71.7770934565277,39708.52
1.64,74.93565035969416,41455.90
1.73,78.08975859116534,43200.82
1.83,80.70557754759055,44647.94
1.94,83.85523710736784,46390.39
2.03,87.00934533883904,48135.31
2.13,89.09132369191218,49287.10
2.24,90.63501276993864,50141.10
2.36,93.77132631463147,51876.17
2.50,96.3649019125837,53310.99
2.61,98.97627219731365,54755.65
2.70,99.99946668707183,55321.70
2.80,99.99946668707183,55321.70
2.90,99.99946668707183,55321.70
3.01,100,55322.00
