calado,porcentaje,dano
0.00,0.00,0.00
0.07,0.00,0.00
0.14,4.05,608.37
0.21,6.11,916.96
0.27,14.74,2213.06
0.34,23.35,3506.21
0.40,27.60,4143.97
0.46,27.60,4143.97
0.54,27.60,4143.97
0.60,27.60,4143.97
0.68,33.57,5040.36
0.75,33.57,5040.36
0.80,35.49,5328.39
0.86,37.57,5639.92
0.94,39.58,5942.63
1.01,39.58,5942.63
1.08,39.58,5942.63
1.13,41.35,6207.14
1.21,45.57,6841.96
1.27,56.40,8467.22
1.34,67.21,10089.55
1.39,78.05,11717.75
1.50,80.01,12011.64
1.58,80.01,12011.64
1.66,80.01,12011.64
1.77,81.61,12252.64
1.85,81.61,12252.64
1.96,81.61,12252.64
2.04,81.61,12252.64
2.12,81.61,12252.64
2.21,81.61,12252.64
2.24,89.35,13413.54
2.29,95.83,14386.35
2.38,100.00,15012.35
2.50,100.00,15012.35
2.62,100.00,15012.35
2.71,100.00,15012.35
2.82,100.00,15012.35
2.91,100.00,15012.35
2.98,100.00,15013.00
