calado,porcentaje,dano
0.00,0.00,0.00
0.06,5.13,1969.61
0.17,13.68,5252.30
0.30,23.93,9191.53
0.46,29.06,11161.14
0.60,32.48,12474.22
0.72,37.61,14443.83
0.84,43.59,16741.71
0.95,49.57,19039.60
1.06,54.70,21009.21
1.17,61.54,23635.36
1.28,66.67,25604.98
1.37,71.80,27574.59
1.46,76.07,29215.93
1.57,79.49,30529.01
1.71,83.76,32170.35
1.84,88.89,34139.97
1.93,91.45,35124.77
2.02,94.02,36109.58
2.15,95.73,36766.12
2.27,97.44,37422.66
2.40,99.15,38079.19
2.53,99.15,38079.19
2.64,99.15,38079.19
2.76,100.00,38407.46
2.87,100.00,38407.46
3.01,100.00,38407.00
