calado,porcentaje,dano
0.00,0.00,0.00
0.03,7.65,2306.73
0.11,14.85,4481.51
0.20,23.23,7009.21
0.27,33.93,10236.40
0.35,43.48,13117.03
0.46,50.75,15310.89
0.55,56.81,17139.10
0.68,60.61,18286.90
0.76,64.31,19402.90
0.85,69.20,20878.19
0.92,75.22,22693.69
1.00,81.24,24509.18
1.11,81.51,24591.85
1.23,82.96,25027.44
1.36,84.42,25469.39
1.46,85.82,25892.26
1.59,87.31,26340.57
1.71,87.58,26423.24
1.82,87.84,26499.55
1.91,89.22,26916.06
2.00,94.11,28391.35
2.09,94.32,28454.94
2.19,94.55,28524.89
2.29,94.78,28594.84
2.39,96.18,29017.71
2.49,96.44,29094.02
2.58,96.63,29151.25
2.66,96.82,29208.48
2.72,99.30,29958.84
2.82,99.54,30028.79
2.94,99.81,30111.46
3.02,100.00,30169.00
