calado,porcentaje,dano
0.00,0.00,0.00
0.04,4.01,1237.21
0.08,10.96,3384.08
0.15,17.88,5517.98
0.23,27.11,8368.58
0.31,36.35,11219.18
0.39,36.35,11219.18
0.49,37.30,11514.30
0.60,39.51,12195.33
0.68,40.58,12526.12
0.77,46.31,14293.56
0.84,50.89,15707.51
0.94,56.61,17471.70
1.04,63.49,19595.87
1.12,68.06,21006.58
1.21,73.78,22774.02
1.32,79.49,24534.97
1.40,85.23,26305.65
1.50,88.61,27349.90
1.58,88.61,27349.90
1.70,89.54,27638.53
1.79,91.77,28326.05
1.92,92.78,28637.38
2.07,94.94,29305.44
2.18,95.98,29626.49
2.27,95.98,29626.49
2.41,96.88,29902.15
2.54,96.88,29902.15
2.66,97.75,30171.32
2.73,100.00,30865.32
2.86,100.00,30865.32
2.94,100.00,30865.32
3.00,100.00,30866.00
