calado,porcentaje,dano
0.01,0.00,0.00
0.03,11.15,3063.58
0.05,22.32,6133.18
0.09,36.00,9894.25
0.16,48.54,13339.66
0.22,57.35,15759.86
0.28,64.89,17834.31
0.31,69.93,19217.28
0.44,71.47,19641.19
0.57,71.80,19731.39
0.69,74.55,20489.01
0.80,76.07,20906.91
0.93,78.85,21670.55
1.00,81.50,22398.12
1.10,81.76,22470.27
1.22,82.05,22548.44
1.33,82.33,22626.61
1.41,82.53,22680.72
1.51,82.77,22746.86
1.58,86.65,23814.16
1.65,91.77,25221.18
1.76,94.51,25972.79
1.86,95.99,26378.67
1.97,96.27,26456.83
2.07,96.51,26522.98
2.18,96.79,26601.14
2.32,97.12,26691.34
2.44,97.43,26775.52
2.63,97.89,26901.79
2.77,98.24,26998.00
2.87,98.50,27070.15
2.98,100.00,27482.00
