calado,porcentaje,dano
0.00,0.00,0.00
0.03,4.33,3378.55
0.09,8.10,6316.42
0.14,10.36,8079.14
0.21,12.62,9841.86
0.25,14.88,11604.58
0.29,17.14,13367.30
0.37,17.14,13367.30
0.45,19.02,14836.24
0.53,22.03,17186.53
0.59,23.92,18655.47
0.65,26.55,20711.98
0.69,28.06,21887.13
0.74,29.94,23356.06
0.79,31.83,24824.99
0.85,34.09,26587.72
0.91,36.35,28350.44
0.99,38.61,30113.16
1.07,41.62,32463.45
1.13,43.88,34226.18
1.18,46.14,35988.90
1.23,48.40,37751.62
1.28,50.66,39514.34
1.34,52.92,41277.06
1.40,55.56,43333.57
1.45,58.57,45683.87
1.52,61.21,47740.37
1.57,63.47,49503.09
1.62,65.73,51265.82
1.66,67.23,52440.96
1.71,69.12,53909.90
1.75,70.62,55085.05
1.80,72.51,56553.98
1.85,74.39,58022.92
1.90,75.89,59198.06
1.94,77.78,60667.00
1.98,79.66,62135.93
2.02,81.54,63604.87
2.08,83.43,65073.80
2.11,84.93,66248.95
2.13,87.57,68305.46
2.15,89.45,69774.39
2.15,91.34,71243.33
2.18,93.60,73006.05
2.19,95.86,74768.77
2.20,98.12,76531.49
2.20,99.62,77706.64
2.27,99.62,77706.64
2.37,99.62,77706.64
2.45,99.62,77706.64
2.51,99.62,77706.64
2.56,99.62,77706.64
2.66,99.62,77706.64
2.73,99.62,77706.64
2.82,99.62,77706.64
2.89,99.62,77706.64
2.96,99.62,77706.64
3.01,100.00,78000.00
