calado,porcentaje,dano
0.00,0.00,0.00
0.04,6.64,2529.97
0.08,11.08,4224.61
0.14,15.53,5922.25
0.21,18.24,6954.04
0.28,20.95,7985.82
0.39,23.69,9032.60
0.49,26.42,10073.38
0.60,30.04,11453.09
0.67,33.63,12820.80
0.77,36.36,13861.59
0.83,39.06,14890.37
0.93,42.67,16267.08
1.02,46.27,17640.79
1.15,49.03,18690.57
1.25,54.41,20742.14
1.34,58.89,22451.78
1.40,64.23,24485.35
1.45,69.56,26518.92
1.51,74.90,28552.50
1.56,78.47,29914.21
1.63,81.17,30945.99
1.72,83.02,31647.84
1.78,85.71,32676.63
1.86,87.54,33372.48
1.93,90.25,34404.27
1.99,94.71,36104.91
2.04,96.52,36794.76
2.14,96.60,36827.76
2.20,96.66,36848.75
2.29,96.74,36878.74
2.38,96.81,36908.74
2.45,98.63,37601.59
2.53,98.70,37628.59
2.59,99.64,37985.51
2.68,99.72,38015.51
2.74,99.77,38036.50
2.86,99.88,38075.49
2.91,99.92,38093.49
3.00,100.00,38123.00
