calado,porcentaje,dano
0.00,0.00,0.00
0.07,5.69,1038.54
0.12,15.32,2796.07
0.19,21.01,3834.61
0.26,22.83,4166.00
0.33,28.52,5204.54
0.41,30.32,5532.96
0.49,35.99,6568.55
0.55,39.77,7257.95
0.62,43.53,7944.39
0.68,47.29,8630.83
0.76,51.04,9314.32
0.84,52.82,9639.78
0.91,54.64,9971.17
0.97,54.64,9972.00
1.04,56.32,10278.89
1.09,56.32,10279.00
1.16,56.32,10279.00
1.23,56.32,10279.00
1.30,56.32,10279.00
1.38,56.32,10279.00
1.43,57.52,10497.84
1.49,61.28,11184.28
1.56,65.05,11870.72
1.64,65.05,11871.00
1.73,70.54,12873.76
1.80,72.36,13205.14
1.88,72.36,13206.00
1.96,77.89,14214.10
2.05,79.65,14536.60
2.13,83.38,15217.13
2.23,87.08,15891.74
2.31,88.88,16220.16
2.39,94.55,17255.75
2.49,96.30,17575.30
2.59,100.00,18249.90
2.67,100.00,18250.00
2.78,100.00,18250.00
2.85,100.00,18250.00
2.92,100.00,18250.00
2.99,100.00,18250.00
