calado,porcentaje,dano
0.00,0,0.00
0.06,9.47401164572691,686.20
0.16,14.464604500897416,1047.67
0.24,19.3740495098716,1403.26
0.34,24.364642371945322,1764.73
0.44,24.810955557089603,1797.06
0.54,25.257268728427444,1829.38
0.65,30.329009443600718,2196.73
0.77,30.85647048184454,2234.93
0.86,31.262209733535826,2264.32
0.96,31.749096838326654,2299.59
1.06,36.73968970040038,2661.06
1.17,46.31513615905011,3354.61
1.28,60.47543622808229,4380.24
1.38,79.09886810713793,5729.13
1.46,79.46403343918266,5755.58
1.55,88.95833204473284,6443.25
1.64,93.90835097335358,6801.78
1.72,94.2735163053983,6828.23
1.82,94.71982949054258,6860.56
1.93,95.20671659533343,6895.82
2.05,95.77475156703024,6936.97
2.17,96.30221259146761,6975.17
2.26,96.70795185696532,7004.56
2.34,97.07311718901008,7031.01
2.44,97.5600042938009,7066.27
2.59,98.20918710479083,7113.29
2.70,98.7366481292282,7151.50
2.81,99.22353524782548,7186.76
2.92,99.71042235261632,7222.03
2.98,100,7243.00

