calado,porcentaje,dano
0.00,0.00,0.00
0.01,2.66,3633.62
0.03,5.33,7267.23
0.05,7.99,10904.90
0.08,10.33,14089.37
0.12,13.33,18184.27
0.18,16.01,21838.12
0.23,18.02,24581.54
0.29,20.03,27324.96
0.34,22.04,30068.38
0.38,24.71,33714.14
0.42,26.39,35996.27
0.46,28.40,38735.65
0.51,30.40,41475.02
0.55,32.08,43761.21
0.61,34.09,46504.63
0.65,35.77,48790.81
0.71,37.78,51534.24
0.75,39.12,53367.23
0.79,40.80,55653.41
0.84,42.47,57939.60
0.88,44.48,60678.97
0.93,46.16,62965.16
0.97,48.17,65704.53
1.02,50.17,68443.91
1.05,52.18,71179.23
1.10,54.19,73918.61
1.14,56.20,76657.98
1.19,58.54,79850.55
1.23,60.54,82589.92
1.28,62.55,85329.30
1.32,64.56,88068.67
1.37,66.57,90808.05
1.41,68.58,93547.42
1.46,69.92,95380.42
1.51,71.60,97670.65
1.56,73.61,100414.07
1.62,75.29,102708.35
1.68,77.30,105451.77
1.74,78.98,107746.04
1.78,80.66,110028.18
1.84,82.67,112775.65
1.90,84.69,115523.12
1.96,86.70,118266.54
2.02,88.71,121014.01
2.07,90.06,122851.05
2.13,92.07,125598.51
2.19,93.42,127435.55
2.25,95.43,130183.02
2.30,97.11,132473.25
2.38,98.80,134771.57
2.45,99.48,135710.33
2.53,99.51,135746.74
2.61,99.54,135783.16
2.71,99.90,136280.86
2.80,99.94,136325.37
2.88,99.96,136357.74
2.96,99.99,136398.20
3.00,100.00,136414.00
