calado,porcentaje,dano
0.00,0.00,0.00
0.06,8.47,2358.65
0.15,17.51,4874.55
0.26,22.03,6132.50
0.36,27.68,7704.94
0.45,32.20,8962.89
0.55,36.72,10220.84
0.64,41.24,11478.79
0.73,45.76,12736.74
0.82,50.28,13994.68
0.92,55.93,15567.12
1.01,60.45,16825.07
1.10,63.84,17768.53
1.20,70.62,19655.46
1.27,75.14,20913.41
1.33,80.79,22485.84
1.41,87.57,24372.77
1.49,92.09,25630.71
1.56,92.09,25630.71
1.63,95.48,26574.18
1.71,96.61,26888.66
1.81,98.87,27517.64
1.90,100.00,27832.13
1.98,100.00,27832.13
2.07,100.00,27832.13
2.13,100.00,27832.13
2.21,100.00,27832.13
2.28,100.00,27832.13
2.36,100.00,27832.13
2.44,100.00,27832.13
2.52,100.00,27832.13
2.60,100.00,27832.13
2.69,100.00,27832.13
2.80,100.00,27832.13
2.87,100.00,27832.13
2.96,100.00,27832.13
2.98,100.00,27833.00
