calado,porcentaje,dano
0.00,0.00,0.00
0.05,9.63,2395.73
0.13,18.52,4607.17
0.24,28.89,7187.18
0.34,34.81,8661.47
0.47,37.78,9398.62
0.59,39.26,9767.19
0.67,40.74,10135.77
0.77,46.67,11610.06
0.87,52.59,13084.36
0.97,58.52,14558.65
1.06,62.96,15664.37
1.16,68.89,17138.66
1.24,73.33,18244.38
1.33,79.26,19718.68
1.41,83.70,20824.40
1.50,85.18,21192.97
1.58,86.67,21561.54
1.67,88.15,21930.12
1.77,89.63,22298.69
1.84,91.11,22667.26
1.92,92.59,23035.84
2.00,94.07,23404.41
2.08,94.07,23404.41
2.16,95.55,23772.98
2.22,95.55,23772.98
2.28,97.04,24141.56
2.35,97.04,24141.56
2.42,97.04,24141.56
2.50,97.04,24141.56
2.59,97.04,24141.56
2.67,98.52,24510.13
2.73,100.00,24878.70
2.80,100.00,24878.70
2.87,100.00,24878.70
2.94,100.00,24878.70
3.00,100.00,24879.00
