Group,Database,Filename,Subgroup,Type,Default_dimension,QGIS_Layername,Query,Filter_JdA,Curve_1,Curve_2,Max_damage_1,Max_damage_2,Economic_influence
Edificaciones_fijas,catastro,A.ES.SDGC.BU.building.geojson,,polygon,,,,,VI-RES,,MA-UCS,,Local
Edificaciones_fijas,usos_jda,Edificaciones fijas.geojson,,polygon,,EF_S_Elem_DPMT,,Id_Elem.notnull() and 'En DPMT' == '-1',VI-RES,,MA-UCS,,Local
Edificaciones_fijas,usos_jda,Edificaciones fijas.geojson,,point,400,EF_P_Elem_DPMT,,Id_Elem.notnull() and 'En DPMT' == '-1',VI-RES,,MA-UCS,,Local
Edificaciones_fijas,usos_jda,Edificaciones fijas.geojson,,polygon,,EF_S_Elem_ZSP,,Id_Elem.notnull() and 'En ZSP' == '-1',VI-RES,,MA-UCS,,Local
Edificaciones_fijas,usos_jda,Edificaciones fijas.geojson,,point,400,EF_P_Elem_ZSP,,Id_Elem.notnull() and 'En ZSP' == '-1',VI-RES,,MA-UCS,,Local
Instalaciones_desmontables,usos_jda,Instalaciones desmontables.geojson,Invernaderos,polygon,,ID_Invernaderos_S_Elem_DPMT,"""Tipo_Uso_2 == 'Instalación de plástico asociada a cultivos'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-IND,,VI-IND,,Comarcal
Instalaciones_desmontables,usos_jda,Instalaciones desmontables.geojson,Invernaderos,polygon,,ID_Invernaderos_S_Elem_ZSP,"""Tipo_Uso_2 == 'Instalación de plástico asociada a cultivos'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-IND,,VI-IND,,Comarcal
Instalaciones_desmontables,btn25,BCN0407S_CUL_INT_polygon.geojson,Invernaderos,polygon,,BTN_CUL_INT_S,"""TIPO_0407 == '01'""",,VI-IND,,VI-IND,,Comarcal
Instalaciones_desmontables,usos_jda,Instalaciones desmontables.geojson,Otras (no invernaderos),polygon,,ID_No_Invernaderos_S_Elem_DPMT,"""Tipo_Uso_2 != 'Instalación de plástico asociada a cultivos'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-IND,,VI-IND,,Local
Instalaciones_desmontables,usos_jda,Instalaciones desmontables.geojson,Otras (no invernaderos),polygon,,ID_No_Invernaderos_S_Elem_ZSP,"""Tipo_Uso_2 != 'Instalación de plástico asociada a cultivos'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-IND,,VI-IND,,Local
Infraestructuras_Estac,usos_jda,Infraestructuras.geojson,,polygon, ,IE_S_Elem_DPMT,"""Tipo_Uso_2 == 'Estacionamientos'""",Id_Elem.notnull() and 'En DPMT' == '-1',MG-PRK,,MG-PRK,,Local
Infraestructuras_Estac,usos_jda,Infraestructuras.geojson,,point,200,IE_P_Elem_DPMT,"""Tipo_Uso_2 == 'Estacionamientos'""",Id_Elem.notnull() and 'En DPMT' == '-1',MG-PRK,,MG-PRK,,Local
Infraestructuras_Estac,usos_jda,Infraestructuras.geojson,,polygon, ,IE_S_Elem_ZSP,"""Tipo_Uso_2 == 'Estacionamientos'""",Id_Elem.notnull() and 'En ZSP' == '-1',MG-PRK,,MG-PRK,,Local
Infraestructuras_Estac,usos_jda,Infraestructuras.geojson,,point,200,IE_P_Elem_ZSP,"""Tipo_Uso_2 == 'Estacionamientos'""",Id_Elem.notnull() and 'En ZSP' == '-1',MG-PRK,,MG-PRK,,Local
Infraestructuras_Estac,btn25,BCN0613S_INF_TRANS_S_polygon.geojson,,polygon, ,BTN_Estac_S,"""TIPO_0613 == '01'""",,MG-PRK,,MG-PRK,,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Vias de transporte,line,7,VT_L_Elem_DPMT,"""Id_T3 in ('35','36','38')""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Comarcal
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Vias de transporte,line,7,VT_L_Elem_ZSP,"""Id_T3 in ('35','36','38')""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Comarcal
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Vias de transporte,line,7,VT_L_Usos_DPMT,"""Id_T3 in ('35','36','38')""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Comarcal
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Vias de transporte,line,7,VT_L_Usos_ZSP,"""Id_T3 in ('35','36','38')""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Comarcal
Infraestructuras_VA,rt,rt_tramo_vial.geojson,Vias de transporte,line,7,RT_CARRETERAS,"""firmed == 'Pavimentado'""","""nombre not in ('MARITIMO','MARITIMO TRAVESIA A','MARITIMO TRAVESIA B')""",VI-VIA,VI-LIM,VI-VIA,VI-LIM,Comarcal
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Paseo marítimo,line,10,PM_L_Elem_DPMT,"""Id_T3 == '37'",Id_Elem.notnull() and 'En DPMT' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Paseo marítimo,line,10,PM_L_Elem_ZSP,"""Id_T3 == '37'",Id_Elem.notnull() and 'En ZSP' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Paseo marítimo,line,10,PM_L_Usos_DPMT,"""Id_T3 == '37'",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Paseo marítimo,line,10,PM_L_Usos_ZSP,"""Id_T3 == '37'",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,rt,rt_tramo_vial.geojson,Paseo marítimo,line,10,RT_PASEO_M,"""firmed == 'Pavimentado'""","""tipo_viald == 'PASEO'""",VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Sendero no asfaltado,line,7,SN_L_Elem_DPMT,"""Id_T3 == '39'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Sendero no asfaltado,line,7,SN_L_Elem_ZSP,"""Id_T3 == '39'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Sendero no asfaltado,line,7,SN_L_Usos_DPMT,"""Id_T3 == '39'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Sendero no asfaltado,line,7,SN_L_Usos_ZSP,"""Id_T3 == '39'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,rt,rt_tramo_vial.geojson,Sendero no asfaltado,line,7,RT_SENDERO,"""firmed != 'Pavimentado'""",,VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Accesos,point,50,AC_P_Elemen_DPMT,"""Id_T3 in ('39','40','147','41')""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Accesos,point,50,AC_P_Elemen_ZSP,"""Id_T3 in ('39','40','147','41')""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Accesos,point,50,AC_P_Usos_DPMT,"""Id_T3 in ('39','40','147','41')""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_VA,usos_jda,Infraestructuras.geojson,Accesos,point,50,AC_P_Usos_ZSP,"""Id_T3 in ('39','40','147','41')""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Infr. Lineales,line,1,ET_L_Elem_DPMT,"""Id_T3 == '44'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Infr. Lineales,line,1,ET_L_Elem_ZSP,"""Id_T3 == '44'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Infr. Lineales,line,1,ET_L_Usos_DPMT,"""Id_T3 == '44'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Infr. Lineales,line,1,ET_L_Usos_ZSP,"""Id_T3 == '44'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-VIA,VI-LIM,VI-VIA,VI-LIM,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_ZSP,"""Id_T3 == '57'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-IND,,VI-IND,,Comarcal
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Usos_DPMT,"""Id_T3 == '57'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-IND,,VI-IND,,Comarcal
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Usos_ZSP,"""Id_T3 == '57'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-IND,,VI-IND,,Comarcal
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_DPMT,"""Id_T3 == '57'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-IND,,VI-IND,,Comarcal
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_DPMT,"""Id_T3 == '58'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-IND,,VI-IND,,Nacional
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_DPMT,"""Id_T3 == '58'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-IND,,VI-IND,,Nacional
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_DPMT,"""Id_T3 == '58'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-IND,,VI-IND,,Nacional
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Telec. Pun tuales,point,5,TC_L_Elem_DPMT,"""Id_T3 == '58'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-IND,,VI-IND,,Nacional
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Faro y radiofaro,point,10,FA_P_Elem_DPMT,"""Id_T3 == '57'""",Id_Elem.notnull() and 'En DPMT' == '-1',VI-IND,,VI-IND,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Faro y radiofaro,point,10,FA_P_Elem_ZSP,"""Id_T3 == '57'""",Id_Elem.notnull() and 'En ZSP' == '-1',VI-IND,,VI-IND,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Faro y radiofaro,point,10,FA_P_Usos_DPMT,"""Id_T3 == '57'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',VI-IND,,VI-IND,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Faro y radiofaro,point,10,FA_P_Usos_ZSP,"""Id_T3 == '57'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',VI-IND,,VI-IND,,Local
Infraestructuras_ET,btn25,BCN0659S_SEN_MAR_S_polygon.geojson,Faro y radiofaro,polygon,,BTN_SEN_MAR_S,,,VI-IND,,VI-IND,,Local
Infraestructuras_ET,btn25,BCN0659P_SEN_MAR_P_point.geojson,Faro y radiofaro,point,10,BTN_SEN_MAR_P,,,VI-IND,,VI-IND,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Centro de transformación,point,5,CT_P_Elem_DPMT,"""Id_T3 == '132'""",Id_Elem.notnull() and 'En DPMT' == '-1',HZ-SVT,,MA-ENE,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Centro de transformación,point,5,CT_P_Elem_ZSP,"""Id_T3 == '132'""",Id_Elem.notnull() and 'En ZSP' == '-1',HZ-SVT,,MA-ENE,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Centro de transformación,point,5,CT_P_Usos_DPMT,"""Id_T3 == '132'""",Id_Elem.isnull() and ZSP_DPMT == 'DPMT',HZ-SVT,,MA-ENE,,Local
Infraestructuras_ET,usos_jda,Infraestructuras.geojson,Centro de transformación,point,5,CT_P_Usos_ZSP,"""Id_T3 == '132'""",Id_Elem.isnull() and ZSP_DPMT == 'ZSP',HZ-SVT,,MA-ENE,,Local
